"","AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae_NK3A20_group",0,0,0,0,0,80,0,0,0,0
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae_NK4A136_group",892,11,350,224,0,1658,133,32,2533,4841
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae_UCG-001",45,221,0,9,0,345,12,82,0,0
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae_UCG-006",0,0,0,0,0,0,0,0,0,4
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae_UCG-010",151,54,127,58,7,129,0,15,55,390
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae_XPB1014_group",6226,4,10,121,0,0,21,0,0,0
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Marvinbryantia",17,0,17,0,0,0,0,0,24,0
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Moryella",14,0,18,0,0,15,69,0,27,9
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Oribacterium",20,10,81,0,0,6,7,48,0,0
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Roseburia",2151,149,1108,643,519,291,909,2993,717,135
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Tuzzerella",0,15,0,0,0,0,0,61,0,58
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Tyzzerella",39,0,0,173,210,0,0,56,0,0
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; uncultured",57,0,0,12,19,0,80,27,658,17
"d__Bacteria; Firmicutes; Clostridia; Monoglobales; Monoglobaceae; Monoglobus",722,526,1705,358,675,165,767,755,76,61
