"AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
18,0,13,27,0,23,0,0,15,13
0,0,0,0,0,0,0,0,2704,3824
0,262,0,0,0,0,0,0,0,416
0,0,0,470,0,0,0,535,0,0
65,0,0,0,33,0,93,0,0,0
0,0,0,0,0,0,55,179,0,0
0,27,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
0,0,0,0,24,0,0,0,0,0
0,0,0,0,157,0,0,0,0,0
470,0,12,293,0,108,0,0,0,0
61,0,0,101,0,42,0,0,0,0
0,0,0,0,388,0,0,0,0,0
0,0,0,0,115,0,0,0,0,0
67,485,437,0,0,144,0,0,0,0
0,0,0,4377,102,0,75,22,13,0
0,125,37,0,115,321,0,0,0,0
5,0,1604,0,0,0,0,602,0,0
0,530,158,67,105,41,0,98,798,0
0,0,0,0,45,0,0,0,0,0
0,0,0,0,0,0,132,0,0,0
0,42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,42,0,0,0
424,0,0,0,0,0,0,0,0,0
0,627,0,360,0,0,0,24,0,0
0,200,74,86,0,7,0,0,20,0
8,0,0,0,0,0,43,0,0,0
0,0,0,0,153,0,19,0,0,0
0,0,0,0,62,0,0,0,0,0
0,0,0,0,0,0,0,0,118,0
0,0,0,0,0,0,0,520,350,0
0,0,0,0,0,0,0,138,0,0
0,0,0,0,0,0,28,0,0,0
0,0,0,33,186,1928,28,157,0,0
1345,149,348,0,0,0,0,233,109,0
0,0,0,35,0,0,0,0,0,0
0,25,0,0,0,366,0,25,0,0
15,0,0,76,0,0,0,0,0,0
0,0,0,314,0,133,0,0,0,0
0,0,0,0,26,0,0,131,0,0
21,0,0,8,107,0,6,0,0,0
0,0,0,0,0,0,0,0,0,46
0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,32,0,0
0,0,0,30,0,0,0,0,0,0
0,200,0,308,0,0,0,0,0,0
0,0,0,16,0,0,0,44,0,0
12,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0
0,0,84,0,0,0,40,0,0,0
2707,0,0,392,0,0,27,0,0,0
436,0,24,0,0,119,0,0,0,0
216,0,0,0,0,0,0,0,0,0
226,0,0,383,890,0,217,861,0,9
22,0,0,803,0,0,0,4143,0,0
0,1451,0,0,1796,0,53,0,0,0
13,0,0,15,0,17,0,0,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,7,0,0
0,0,329,0,16,0,329,0,0,0
0,35,0,0,0,0,0,0,0,0
0,0,0,0,0,181,0,157,0,0
0,0,0,53,0,0,0,0,0,0
0,27,0,42,0,38,0,0,0,0
19,0,0,0,0,0,0,0,0,0
52,182,507,1412,0,2959,217,2241,1274,0
0,0,0,0,414,0,0,0,0,379
0,546,0,0,0,0,0,710,317,0
111,0,179,156,32,161,128,90,0,0
0,0,245,38,22,0,164,0,0,0
0,0,78,0,0,0,0,0,0,0
